No,English,English antonym,Danish,Danish antonym
1,big,small,stor,lille
2,tall,short,høj,lav
3,wide,narrow,bred,smal
4,thick,thin,tyk,tynd
5,deep,shallow,dyb,lavvandet
6,fat,skinny,fed,mager
7,white,black,hvid,sort
8,red,blue,rød,blå
9,yellow,purple,gul,lilla
10,dark,light,mørk,lys
11,bright,dull,klar,mat
12,hot,cold,varm,kold
13,warm,cool,lun,kølig
14,burning,freezing,brændende,frysende
15,day,night,dag,nat
16,morning,evening,morgen,aften
17,early,late,tidlig,sen
18,young,old,ung,gammel
19,new,old,ny,gammel
20,fast,slow,hurtig,langsom
21,happy,sad,glad,ked af det
22,calm,angry,rolig,vred
23,brave,cowardly,modig,fej
24,confident,shy,selvsikker,genert
25,proud,ashamed,stolt,skamfuld
26,love,hate,kærlighed,had
27,wet,dry,våd,tør
28,clean,dirty,ren,snavset
29,strong,weak,stærk,svag
30,healthy,sick,rask,syg
31,alive,dead,levende,død
32,smooth,rough,glat,ru
33,hard,soft,hård,blød
34,up,down,op,ned
35,forward,backward,frem,tilbage
36,in,out,ind,ud
37,left,right,venstre,højre
38,near,far,nær,fjern
39,above,below,over,under
40,front,back,foran,bag
41,good,bad,god,dårlig
42,beautiful,ugly,smuk,grim
43,pretty,hideous,pæn,frygtelig
44,right,wrong,rigtig,forkert
45,true,false,sand,falsk
46,fair,unfair,retfærdig,uretfærdig
47,many,few,mange,få
48,much,little,meget,lidt
49,full,empty,fuld,tom
50,dense,sparse,tæt,sparsom
51,loud,quiet,høj,stille
52,noisy,silent,støjende,tavs
53,harsh,gentle,hård,blid
54,sunny,rainy,solrig,regnfuld
55,clear,cloudy,klar,skyet
56,windy,calm,blæsende,vindstille
57,dry,humid,tør,fugtig
58,open,closed,åben,lukket
59,start,stop,starte,stoppe
60,begin,end,begynde,slutte
61,come,go,komme,gå
62,give,take,give,tage
63,sit,stand,sidde,stå
64,rise,fall,stige,falde
65,wake,sleep,vågne,sove
67,better,worse,bedre,værre
68,more,less,mere,mindre
69,larger,smaller,større,mindre
70,stronger,weaker,stærkere,svagere
71,higher,lower,højere,lavere
72,knowledge,ignorance,viden,uvidenhed
73,order,chaos,orden,kaos
74,peace,war,fred,krig
75,rich,poor,rig,fattig
76,success,failure,succes,fiasko
77,legal,illegal,lovlig,ulovlig
78,just,unjust,retfærdig,uretfærdig
79,possible,impossible,mulig,umulig
80,difficult,easy,svær,let
81,simple,complex,simpel,kompleks
82,inside,outside,indre,ydre
83,interior,exterior,indvendig,udvendig
84,silky,bumpy,silkeblød,ujævn
85,fluffy,spiky,luftig,pigget
86,sweet,sour,sød,sur
87,bitter,bland,bitter,mild
88,fragrant,stinky,duftende,stinkende
89,messy,neat,rodet,ryddelig
90,crumpled,pressed,krøllet,presset
91,visible,invisible,synlig,usynlig
92,opaque,transparent,uigennemsigtig,gennemsigtig
93,often,rarely,tit,sjældent
94,always,never,altid,aldrig
95,intense,mild,intens,mild
96,extreme,moderate,ekstrem,moderat
97,adjacent,distant,tilstødende,fjern
98,clear,vague,klar,vag
99,distinct,blurry,tydelig,sløret
100,truthful,deceptive,sandfærdig,bedragerisk
101,virtuous,sinful,dydig,syndig
102,favorite,hated,yndlings,hadet
103,smart,stupid,smart,dum
104,wise,foolish,vis,tåbelig
105,sane,insane,tilregnelig,sindssyg
106,obedient,defiant,lydig,ulydig
107,polite,rude,høflig,uforskammet
108,generous,stingy,gavmild,nærig
109,honest,dishonest,ærlig,uærlig
110,enthusiastic,apathetic,entusiastisk,apatisk
111,eager,reluctant,ivrig,modvillig
112,winner,loser,vinder,taber
113,allied,hostile,allieret,fjendtlig
114,friend,enemy,ven,fjende
115,love,enmity,kærlighed,fjendskab
116,profitable,unprofitable,rentabel,urentabel
117,affordable,expensive,overkommelig,dyr
118,budget,luxury,økonomi,luksus
119,fit,unfit,i form,ude af form
120,nutritious,empty (of nutrients),næringsrig,næringsfattig
121,progress,regress,fremgang,tilbagegang
122,growth,decline,vækst,nedgang
123,focus,distraction,fokus,distraktion
124,attentive,negligent,opmærksom,forsømmelig
125,significant,insignificant,væsentlig,ubetydelig
126,major,minor,større,mindre
127,superior,inferior,overlegen,underlegen
129,dominant,submissive,dominerende,underdanig
130,wild,tame,vild,tam
131,civilized,primitive,civiliseret,primitiv
132,urban,rural,urban,landlig
133,comfortable,uncomfortable,komfortabel,ubehagelig
134,peaceful,hectic,fredelig,hektisk
135,relaxing,stressful,afslappende,stressende
136,brilliant,dull,strålende,mat
137,clever,slow,dygtig,langsom
138,talkative,silent,snakkesalig,tavs
139,verbal,nonverbal,verbal,nonverbal
140,assertive,timid,bestemt,genert
141,bold,cautious,dristig,forsigtig
142,ready,unprepared,klar,uforberedt
143,organized,chaotic,organiseret,kaotisk
144,passionate,cold,passioneret,kold
145,enthusiastic,indifferent,entusiastisk,ligegyldig
146,stable,unstable,stabil,ustabil
147,steady,shaky,stabil,rystende
148,elegant,awkward,elegant,akavet
149,graceful,clumsy,graciøs,klodset
150,fluent,halting,flydende,hakkende
151,solid,fragile,solid,skrøbelig
152,rigid,flexible,stiv,fleksibel
153,bright,dark,lys,mørk
154,illuminated,shadowy,oplyst,skyggefuld
155,pleasant,unpleasant,behagelig,ubehagelig
156,fresh,stale,frisk,gammel
157,delicious,disgusting,lækker,ulækker
158,savory,bland,velsmagende,fad
159,tender,tough,mør,sej
160,sharp,blurred,skarp,sløret
161,musical,discordant,musikalsk,disharmonisk
162,melodic,harsh,melodisk,skinger
163,center,edge,center,kant
164,proximal,distal,proksimal,distal
165,mild,severe,mild,alvorlig
166,gentle,violent,blid,voldsom
167,increase,decrease,øge,mindske
168,expand,shrink,udvide,skrumpe
169,identical,different,identisk,forskellig
170,similar,dissimilar,lignende,uensartet
171,same,opposite,samme,modsat
172,internal,external,intern,ekstern
173,brief,extended,kort,udvidet
174,temporary,permanent,midlertidig,permanent
175,slight,considerable,lille,betydelig
176,minimal,maximal,minimal,maksimal
177,past,future,fortid,fremtid
178,former,latter,førstnævnte,sidstnævnte
179,before,after,før,efter
180,real,imaginary,virkelig,imaginær
181,actual,potential,faktisk,potentiel
182,concrete,abstract,konkret,abstrakt
183,authentic,counterfeit,ægte,forfalsket
184,genuine,fake,ægte,falsk
185,abundant,scarce,rigelig,knap
186,surplus,deficit,overskud,underskud
187,gain,relinquish,vinde,opgive
188,keep,abandon,beholde,forlade
189,active,passive,aktiv,passiv
190,dynamic,static,dynamisk,statisk
191,whole,partial,hel,delvis
192,complete,incomplete,komplet,ufuldstændig
193,severe,mild,alvorlig,mild
194,intense,relaxed,intens,afslappet
195,massive,tiny,massiv,lille
196,enormous,microscopic,enorm,mikroskopisk
197,public,private,offentlig,privat
198,logical,illogical,logisk,ulogisk
199,rational,irrational,rationel,irrationel
200,probable,improbable,sandsynlig,usandsynlig
201,certain,uncertain,sikker,usikker
202,sure,doubtful,sikker,tvivlsom
203,confident,unsure,selvsikker,usikker
204,favorable,unfavorable,gunstig,ugunstig
205,promising,unpromising,lovende,ulovende
206,detailed,vague,detaljeret,vag
207,specific,general,specifik,generel
